layer,feature,golden_label,autogen_label,semantic_similarity,golden_word_count,autogen_word_count,word_count_ratio,length_score
0,8003,names and dates,"""Proper nouns, particularly names, and certain suffixes or endings of words are highlighted, often indicating specific individuals or entities.""",0.39372782468795786,3,19,6.333333333333333,0.15789473684210528
0,9022,ComVisible,"""Nouns and adjectives representing specific objects, places, or concepts, often part of technical, formal, or specialized contexts.""",-0.007532578334212303,1,17,17.0,0.058823529411764705
0,1654,deserve,"""The conjunction \""but\"" used to introduce a contrast or exception to a statement or idea.""",-0.016134342178702354,1,15,15.0,0.06666666666666667
0,5553,shared,"""Common words and phrases that are often used in specific contexts, such as \""once\"" indicating a past condition, \""take\"" in the context of actions, and \""seven\"" or \""nine\"" as specific numbers. The word \""police\"" is often used in the context of law enforcement, and \""Caption\"" is used to introduce a description or label.""",-0.015034609660506248,1,53,53.0,0.018867924528301886
0,14666,strength,"""Commonly used words and phrases that are contextually significant, such as adjectives, nouns, and articles, often appearing in technical, descriptive, or narrative contexts.""",0.00896934438496828,1,23,23.0,0.043478260869565216
0,5501,upper,"""Common words and phrases that denote time, quantity, or specific roles, often used in technical, descriptive, or narrative contexts.""",0.00882495269179344,1,19,19.0,0.05263157894736842
0,5794,led,"""The text contains a variety of words and suffixes that are activated, often indicating the end of a word or a specific part of speech. Common patterns include the suffixes \""-ed,\"" \""-ers,\"" \""-er,\"" and \""-ate,\"" which often denote past tense verbs, plural nouns, comparative adjectives, and verbs or nouns related to a process or action. Additionally, some common words like \""that,\"" \""and,\"" and \""while\"" are also highlighted, suggesting they play a significant role in the structure or meaning of the sentences.""",0.037305517494678496,1,81,81.0,0.012345679012345678
0,15999,meta,"""Common words and phrases that are frequently used in specific contexts, such as technical terms, idioms, or functional words in sentences.""",0.018018727004528046,1,21,21.0,0.047619047619047616
0,3820,the,"""The frequent use of the definite article \""the\"" to introduce specific nouns or concepts, often in contexts that require precise or formal language.""",0.313069108616222,1,23,23.0,0.043478260869565216
0,8622,human experiences,"""Nouns and verbs that are contextually significant, often representing objects, actions, or concepts that are central to the sentence's meaning.""",0.04787002801895141,2,20,10.0,0.1
0,1373,Springframework,"""Specific words and terms that are contextually significant in the text, such as \""starting,\"" \""beginning,\"" \""learn,\"" \""teams,\"" \""repeatedly,\"" \""played,\"" \""correctly,\"" \""based,\"" \""often,\"" \""others,\"" \""beings,\"" \""drawn,\"" \""play,\"" \""lean,\"" \""uri,\"" \""humans,\"" \""™,\"" \""incorrectly,\"" \""interaction,\"" \""apache,\"" \""Press.\""""",0.010612325370311737,1,34,34.0,0.029411764705882353
0,15892,breath,"""Verbs and adjectives that indicate action, state, or description, often used in contexts of seeking, achieving, or describing attributes.""",0.03566633015871048,1,19,19.0,0.05263157894736842
0,5626,city names,"""Proper nouns and specific terms representing locations, organizations, or entities, often with cultural, historical, or specific significance.""",0.43809484660625464,2,17,8.5,0.11764705882352941
0,9116,dish,"""Common verbs and nouns that are contextually significant, often indicating actions, objects, or states. Verbs like \""loved,\"" \""died,\"" \""go,\"" \""perform,\"" and \""honor\"" are used to describe actions or states, while nouns like \""dish,\"" \""summer,\"" \""app,\"" \""band,\"" and \""Dial\"" refer to specific objects or entities.""",0.31305403500795365,1,44,44.0,0.022727272727272728
0,10254,sports,"""The term \""sports\"" and related words (e.g., \""sport,\"" \""Racing\"") are frequently highlighted, indicating a focus on sports-related content. Other less frequent terms like \""feedback,\"" \""craft,\"" \""critics,\"" and \""point\"" also show some importance, but are not as consistently emphasized as \""sports.\""""",0.38738312065601344,1,40,40.0,0.025
0,7325,civil,"""Common words and phrases that indicate issues, access, or roles, often used in contexts related to legal, social, or technical matters.""",0.06811286062002182,1,21,21.0,0.047619047619047616
0,2285,Bob,"""Proper nouns, particularly names, are highlighted, often in the context of historical, fictional, or real individuals.""",0.02700076550245285,1,16,16.0,0.0625
0,13094,jump,"""Commonly used adjectives, nouns, and adverbs that emphasize or qualify the preceding or following context, often related to attributes, actions, or entities.""",0.0046351891010999674,1,22,22.0,0.045454545454545456
0,14363,square,"""Common words and short phrases that emphasize or qualify statements, often used to introduce a contrasting or reinforcing idea.""",0.014314233139157294,1,19,19.0,0.05263157894736842
0,15751,confident,"""Words and phrases that express confidence, hope, or legal and technical terms, often used in formal or specific contexts.""",0.08216909766197204,1,19,19.0,0.05263157894736842
0,7532,names,"""Proper nouns, particularly names, and specific terms are highlighted, often indicating individuals, places, or significant entities in the text.""",0.4172896933555604,1,19,19.0,0.05263157894736842
0,14738,names of people,"""Proper nouns, particularly names, and certain suffixes or prefixes in text, often carry significant activations, indicating their importance in the context. These elements are typically used to denote specific individuals, places, or entities, and sometimes to form part of a larger structure such as a name or a technical term.""",0.4193451062838237,3,50,16.666666666666668,0.06
0,13417,military,"""Nouns and adjectives that are contextually significant, often related to specific domains or concepts, such as \""military,\"" \""Congress,\"" \""positive,\"" \""attitude,\"" \""good,\"" \""powerful,\"" \""sport,\"" \""speed,\"" \""dedicated,\"" \""total,\"" \""modern,\"" \""sides,\"" \""unfortunate,\"" \""defensive,\"" and \""parallel.\"" These terms often carry specific connotations or are used to describe important aspects of the text.""",0.3043676519393921,1,48,48.0,0.020833333333333332
0,10891,trips,"""Nouns and verbs representing specific objects, activities, or concepts, often in the context of detailed descriptions or instructions.""",0.04502565264701843,1,18,18.0,0.05555555555555555
0,9042,jump,"""The text contains a variety of words and phrases that are emphasized, often related to actions, movements, and descriptive terms. The emphasis is often on words that add specific detail or intensity to the context, such as \""jump,\"" \""Config,\"" \""dramatic,\"" \""wide,\"" \""B,\"" and \""assist.\"" These words are used to highlight key elements or to convey a particular emphasis in the sentence.""",0.2987237477302551,1,61,61.0,0.01639344262295082
0,14375,valid,"""Common words and phrases that often appear in text, such as \""few,\"" \""young,\"" \""last,\"" and \""list,\"" typically used to describe quantities, ages, sequences, or collections. Adverbs ending in \""-ly\"" are also frequently used to modify adjectives or verbs.""",0.025584930181503294,1,38,38.0,0.02631578947368421
0,3227,living,"""Verbs and nouns indicating actions or states, often in the context of activities, roles, or processes. Common tokens include \""playing,\"" \""running,\"" \""working,\"" \""played,\"" \""re,\"" \""end,\"" \""act,\"" \""kind,\"" and \""live.\""""",0.07741366624832154,1,29,29.0,0.034482758620689655
0,4420,pack,"""Nouns and adjectives that are specific to the context, often referring to objects, people, or concepts with distinct roles or characteristics.""",-0.019595224410295486,1,21,21.0,0.047619047619047616
0,1607,Names,"""Proper names and specific words, often parts of names or surnames.""",0.5198032498359682,1,11,11.0,0.09090909090909091
0,12160,achievements and feelings,"""Key nouns and adjectives that are contextually significant, often related to specific domains (e.g., healthcare, nature, time periods) or expressing emotions (e.g., proud, hopes, worries).""",0.0747158876978434,3,25,8.333333333333334,0.12
0,411,names,"""Proper names, including surnames and titles, and specific words like \""Passion\"" and \""cough\"".""",0.47521811246871953,1,13,13.0,0.07692307692307693
0,6217,Legal/Patent documents,"""Nouns and adjectives representing specific entities, concepts, or objects, often in the context of formal or technical writing.""",0.04469476640224457,2,18,9.0,0.1111111111111111
0,14796,sports scores,"""Common nouns and adjectives related to sports, events, and actions, often used in the context of describing performance, outcomes, and specific moments in sports and competitions.""",0.13988527906977613,2,26,13.0,0.07692307692307693
0,8813,preliminary,"""Common nouns and adjectives that are contextually significant, often related to specific domains or activities, and sometimes part of proper nouns or technical terms.""",0.02991957440972328,1,24,24.0,0.041666666666666664
0,9838,alone,"""The text contains a variety of tokens that are often used to mark the end of a clause or sentence, such as semicolons and periods. Additionally, there are nouns and adjectives that are significant in the context of the text, often related to specific concepts or entities.""",-0.027694854140281677,1,47,47.0,0.02127659574468085
0,2586,Research paper citations,"""Proper nouns and specific terms that are capitalized, often representing names, places, organizations, or technical terms.""",0.01704806238412857,3,16,5.333333333333333,0.1875
0,1872,raised,"""Common nouns, verbs, and adjectives that are contextually significant in describing actions, roles, or characteristics.""",0.019183961302042005,1,15,15.0,0.06666666666666667
0,13511,use,"""The text contains specific words and phrases that are emphasized, often related to roles, purposes, and the word \""use.\"" The asterisk (*) is used in technical or instructional contexts, and the word \""with\"" is used to connect ideas or entities.""",0.2982697749137878,1,40,40.0,0.025
0,16028,significant,"""Adjectives and nouns that emphasize the importance or significance of the described elements, often in scientific, legal, or evaluative contexts.""",0.0943864345550537,1,20,20.0,0.05
0,7995,sport,"""Common nouns and verbs that are contextually significant, often related to actions, emotions, or specific objects.""",0.047119952738285065,1,16,16.0,0.0625
0,560,play,"""Common nouns and adjectives that are often used in everyday contexts, including \""day,\"" \""child,\"" \""play,\"" \""children,\"" \""color,\"" \""running,\"" and \""color.\""""",0.28778662919998166,1,20,20.0,0.05
0,10039,hopefully,"""Common words and short phrases that are contextually significant, often used to convey specific actions, states, or transitions in the text.""",-0.0023753944784402846,1,21,21.0,0.047619047619047616
0,15198,works,"""Common nouns and verbs that are contextually significant in describing actions, objects, or processes. These tokens often represent key elements in the sentence, such as the subject performing an action or the object being described.""",0.010668495297431945,1,35,35.0,0.02857142857142857
0,3919,neither,"""Common words and phrases that are contextually significant, often indicating a shift in the narrative or a specific condition, such as \""neither,\"" \""water,\"" \""were,\"" and \""wide.\""""",0.25867729425430297,1,26,26.0,0.038461538461538464
0,2424,single letters,"""Proper nouns, particularly names, and specific terms are highlighted, often indicating important individuals, places, or concepts in the text.""",0.061731424927711484,2,19,9.5,0.10526315789473684
0,6381,threatened,"""Common tokens include ordinal numbers, words related to conflict or action, and terms indicating traditional or historical contexts. The tokens often appear in contexts related to historical events, descriptions of actions, and traditional practices.""",0.01831553466618061,1,34,34.0,0.029411764705882353
0,14240,welcome,"""Important tokens are often nouns, adjectives, or adverbs that carry specific meanings or are part of technical or specialized language. Commonly highlighted are words related to specific concepts, such as \""designed,\"" \""welcome,\"" \""III,\"" \""II,\"" \""sports,\"" \""eventually,\"" \""Japan,\"" \""English,\"" \""intended,\"" \""cancer,\"" \""Western,\"" \""Sexual,\"" \""Instead,\"" \""fact,\"" \""dance,\"" \""expressly,\"" \""York,\"" \""carto,\"" \""itd.\"" These tokens often appear in contexts where they convey significant information or are part of technical, legal, or specialized terminology.""",0.25666046530008313,1,69,69.0,0.014492753623188406
0,9026,(\<,"""The text contains a variety of significant words and phrases that often relate to specific domains or contexts, such as technical terms, idioms, and proper nouns. These tokens are often part of longer sequences that convey specific meanings or actions, such as describing processes, events, or characteristics. The patterns suggest a focus on detailed descriptions, specific actions, and named entities.""",0.014129574224352836,1,60,60.0,0.016666666666666666
0,2848,of,"""The preposition \""of\"" is frequently used to indicate a relationship or association between entities, often in formal or technical contexts.""",0.30553965657949445,1,20,20.0,0.05
0,2485,play,"""The text contains a variety of words and suffixes that are activated, including \""play\"" and its variations, \""er\"" and \""es\"" as suffixes, and \""ing\"" as a suffix. These tokens often appear in contexts related to actions, roles, and processes.""",0.3342008703947067,1,39,39.0,0.02564102564102564
0,14975,trail,"""Common nouns and verbs that are often used in specific contexts, such as ownership, movement, and transformation. The words \""owner,\"" \""go,\"" \""become,\"" and \""stop\"" are frequently used to describe changes in state or possession.""",0.024893007427453994,1,34,34.0,0.029411764705882353
